,CNAE,ACC_EXTRAN,ACC_EMPRESA,NUMACCIONISTAS,CARGOS_ADMIN,codPostal,AÑO CONCESION,IMPORTE NOMINAL,ROA_1,LIQ_1,END_1,EMP_1,A-I-INM_INT_1,A-II-INM_MAT_1,A-III-INV_INM_1,A-IV-INV_GRU_1,A-V-INV_FLP_1,A-VI-IMP_DIF_1,A-VII-DEU_COM_1,B-II-EXISTENCIAS_1,B-III-DEU_COM_1,B-IV-DEU_COM_1,B-V-INV_FCP_1,B-VI-PER_CP_1,B-VII-EFECTIVO_1,A-PN-1_FP_1,A-PN-2_AJ_1,A-PN-3_SUBV_1,B-I-PROV_LP_1,B-II-DEU_LP_1,B-III-DEU_GRU_LP_1,B-IV-PAS_IMP_DIF_1,B-V-PER_LP_1,B-VI-ACREE_COM_LP_1,B-VII-DEU_ESP_LP_1,C-II-PROV_CP_1,C-III-DEU_CP_1,C-IV-DEU_GRU_CP_1,C-V-ACREE_COM_CP_1,C-VI-PER_CP_1,C-VII-DEU_ESP_CP_1,A-4-APROVISIONA_1,A-5-OTROSINGRESOS_1,A-6-GASTOSPERSONAL_1,A-7-OTROSGASTOS_1,A-8-AMORT_INM_1,A-13-OTROSRESULT_1,A-14-ING_FIN_1,A-15-GAS_FIN_1,A-17-DIF_CAMBIO_1,A-20-IMPUESTOS_1,ROA_23_diff,ROA_12_diff,LIQ_23_diff,LIQ_12_diff,END_23_diff,END_12_diff,EMP_23_diff,EMP_12_diff,A-I-INM_INT_23_diff,A-I-INM_INT_12_diff,A-II-INM_MAT_23_diff,A-II-INM_MAT_12_diff,A-III-INV_INM_23_diff,A-III-INV_INM_12_diff,A-IV-INV_GRU_23_diff,A-IV-INV_GRU_12_diff,A-V-INV_FLP_23_diff,A-V-INV_FLP_12_diff,A-VI-IMP_DIF_23_diff,A-VI-IMP_DIF_12_diff,A-VII-DEU_COM_23_diff,A-VII-DEU_COM_12_diff,B-II-EXISTENCIAS_23_diff,B-II-EXISTENCIAS_12_diff,B-III-DEU_COM_23_diff,B-III-DEU_COM_12_diff,B-IV-DEU_COM_23_diff,B-IV-DEU_COM_12_diff,B-V-INV_FCP_23_diff,B-V-INV_FCP_12_diff,B-VI-PER_CP_23_diff,B-VI-PER_CP_12_diff,B-VII-EFECTIVO_23_diff,B-VII-EFECTIVO_12_diff,A-PN-1_FP_12_diff,A-PN-1_FP_23_diff,A-PN-2_AJ_12_diff,A-PN-2_AJ_23_diff,A-PN-3_SUBV_12_diff,A-PN-3_SUBV_23_diff,B-I-PROV_LP_12_diff,B-I-PROV_LP_23_diff,B-II-DEU_LP_12_diff,B-II-DEU_LP_23_diff,B-III-DEU_GRU_LP_12_diff,B-III-DEU_GRU_LP_23_diff,B-IV-PAS_IMP_DIF_12_diff,B-IV-PAS_IMP_DIF_23_diff,B-V-PER_LP_12_diff,B-V-PER_LP_23_diff,B-VI-ACREE_COM_LP_12_diff,B-VI-ACREE_COM_LP_23_diff,B-VII-DEU_ESP_LP_12_diff,B-VII-DEU_ESP_LP_23_diff,C-II-PROV_CP_12_diff,C-II-PROV_CP_23_diff,C-III-DEU_CP_12_diff,C-III-DEU_CP_23_diff,C-IV-DEU_GRU_CP_12_diff,C-IV-DEU_GRU_CP_23_diff,C-V-ACREE_COM_CP_12_diff,C-V-ACREE_COM_CP_23_diff,C-VI-PER_CP_12_diff,C-VI-PER_CP_23_diff,C-VII-DEU_ESP_CP_12_diff,C-VII-DEU_ESP_CP_23_diff,A-4-APROVISIONA_23_diff,A-4-APROVISIONA_12_diff,A-5-OTROSINGRESOS_23_diff,A-5-OTROSINGRESOS_12_diff,A-6-GASTOSPERSONAL_23_diff,A-6-GASTOSPERSONAL_12_diff,A-7-OTROSGASTOS_23_diff,A-7-OTROSGASTOS_12_diff,A-8-AMORT_INM_23_diff,A-8-AMORT_INM_12_diff,A-13-OTROSRESULT_23_diff,A-13-OTROSRESULT_12_diff,A-14-ING_FIN_23_diff,A-14-ING_FIN_12_diff,A-15-GAS_FIN_23_diff,A-15-GAS_FIN_12_diff,A-17-DIF_CAMBIO_23_diff,A-17-DIF_CAMBIO_12_diff,A-20-IMPUESTOS_23_diff,A-20-IMPUESTOS_12_diff,Subvencion,Inicio Actividad,ULT_ACTOMERCANTIL_Y,IMPORT_EXPORT_Exporta,IMPORT_EXPORT_Importa,IMPORT_EXPORT_Importa y exporta,IMPORT_EXPORT_Nada,TAM_EMPRESA_Grande,TAM_EMPRESA_Mediana,TAM_EMPRESA_Microempresa,TAM_EMPRESA_Pequeña,Estado_Inactiva según nuestras fuentes,Estado_Viva,INFO_ADMIN_SI,ACT_MEDIOS_Activa en Medios,ACT_MEDIOS_Activa en Redes,ACT_MEDIOS_Activa en Redes y Medios,ACT_MEDIOS_NO,MUJERES_CONSEJO_NO,MUJERES_CONSEJO_SI,frmJuridica_A,frmJuridica_B,ALTO_CRECIMIENTO_PRED
0,7219,0.0,0.0,0.0,1.0,18600,2017.0,370198.3,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,2016.0,2020.0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0.0
1,7219,0.0,0.0,0.0,1.0,18600,2019.0,8800.0,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,2016.0,2020.0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0.0
2,7219,0.0,0.0,0.0,1.0,18600,2020.0,8000.0,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,2016.0,2020.0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0.0
3,2822,0.0,0.0,1.0,4.0,18320,2020.0,146004.93,66.96,220.37,0.05,28.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,28.0,700.0,3.0,0.0,0.0,445.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,0.0,0.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,-0.1124823695345555,-0.1529271206690561,0.921584139985108,-0.0249126469120116,-0.5365853658536586,7.199999999999999,-0.1891891891891891,0.3214285714285714,0.0,0.0,9.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0714285714285714,0.2760736196319018,0.3971428571428572,0.0,0.0,0.0,0.0,0.0,0.0,-0.0992537313432836,2.01123595505618,0.9234303215926494,0.536624203821656,0.0,0.0,0.0,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.5,0.0,0.0,1.0318949343339583,-0.4469067405355493,0.0,0.0,0.0,0.0,-0.2119205298013244,0.1259320629660314,11.916666666666666,0.7142857142857142,-0.0910425844346549,0.8380566801619433,-0.0634920634920634,0.6434782608695653,0.5,1.0,2.333333333333333,1.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.0848484848484848,0.6666666666666667,1.0,2018.0,2019.0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0.0
4,2822,0.0,0.0,1.0,4.0,18320,2019.0,11000.0,66.96,220.37,0.05,28.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,28.0,700.0,3.0,0.0,0.0,445.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,0.0,0.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,-0.1124823695345555,-0.1529271206690561,0.921584139985108,-0.0249126469120116,-0.5365853658536586,7.199999999999999,-0.1891891891891891,0.3214285714285714,0.0,0.0,9.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0714285714285714,0.2760736196319018,0.3971428571428572,0.0,0.0,0.0,0.0,0.0,0.0,-0.0992537313432836,2.01123595505618,0.9234303215926494,0.536624203821656,0.0,0.0,0.0,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.5,0.0,0.0,1.0318949343339583,-0.4469067405355493,0.0,0.0,0.0,0.0,-0.2119205298013244,0.1259320629660314,11.916666666666666,0.7142857142857142,-0.0910425844346549,0.8380566801619433,-0.0634920634920634,0.6434782608695653,0.5,1.0,2.333333333333333,1.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.0848484848484848,0.6666666666666667,1.0,2018.0,2019.0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0.0
5,4778,0.0,0.0,1.0,2.0,24009,2020.0,105379.2,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,2017.0,2022.0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0
6,4778,0.0,0.0,1.0,2.0,24009,2020.0,90298.8,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,2017.0,2022.0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0
7,4778,0.0,0.0,1.0,2.0,24009,2020.0,19307.25,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,2017.0,2022.0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0
8,4778,0.0,0.0,1.0,2.0,24009,2020.0,15000.0,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,2017.0,2022.0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0
9,4778,0.0,0.0,1.0,2.0,24009,2020.0,6175.0,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,2017.0,2022.0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0
